start_hour,utilizationRate_total
2021-01-06 08:00:00,0.12565680166147458
2021-01-06 09:00:00,0.1277258566978193
2021-01-06 10:00:00,0.14340602284527518
2021-01-06 11:00:00,0.15309449636552439
2021-01-06 12:00:00,0.1698442367601246
2021-01-06 13:00:00,0.17655763239875388
2021-01-06 14:00:00,0.17632398753894082
2021-01-06 15:00:00,0.16357217030114227
2021-01-06 16:00:00,0.14582554517133955
2021-01-06 17:00:00,0.09900830737279336
2021-01-06 18:00:00,0.05254153686396677
2021-01-06 19:00:00,0.03285825545171339
2021-01-06 20:00:00,0.01950415368639668
2021-01-06 21:00:00,0.009345794392523364
2021-01-06 22:00:00,0.008034787123572171
2021-01-06 23:00:00,0.019805295950155764
2021-01-07 00:00:00,0.019805295950155764
2021-01-07 01:00:00,0.019805295950155764
2021-01-07 02:00:00,0.019805295950155764
2021-01-07 03:00:00,0.019805295950155764
2021-01-07 04:00:00,0.019805295950155764
2021-01-07 05:00:00,0.019805295950155764
2021-01-07 06:00:00,0.041007268951194185
2021-01-07 07:00:00,0.07417964693665628
2021-01-07 08:00:00,0.1212668743509865
2021-01-07 09:00:00,0.14241433021806854
2021-01-07 10:00:00,0.14656801661474558
2021-01-07 11:00:00,0.15636812045690549
2021-01-07 12:00:00,0.16229750778816202
2021-01-07 13:00:00,0.1450778816199377
2021-01-07 14:00:00,0.12729750778816198
2021-01-07 15:00:00,0.1262564901349948
2021-01-07 16:00:00,0.11199896157840084
2021-01-07 17:00:00,0.079966251298027
2021-01-07 18:00:00,0.05144340602284527
2021-01-07 19:00:00,0.02865784008307373
2021-01-07 20:00:00,0.011334371754932503
2021-01-07 21:00:00,0.004392523364485981
2021-01-07 22:00:00,0.004392523364485981
2021-01-07 23:00:00,0.004392523364485981
2021-01-08 00:00:00,0.009345794392523364
2021-01-08 01:00:00,0.004870197300103842
2021-01-08 02:00:00,0.006648494288681204
2021-01-08 03:00:00,0.006648494288681204
2021-01-08 04:00:00,0.006648494288681204
2021-01-08 05:00:00,0.014758566978193145
2021-01-08 06:00:00,0.02520249221183801
2021-01-08 07:00:00,0.05331516095534787
2021-01-08 08:00:00,0.07692367601246106
2021-01-08 09:00:00,0.07949896157840083
2021-01-08 10:00:00,0.09825545171339564
2021-01-08 11:00:00,0.1091251298026999
2021-01-08 12:00:00,0.12287642782969886
2021-01-08 13:00:00,0.12201453790238836
2021-01-08 14:00:00,0.11653686396677052
2021-01-08 15:00:00,0.12533229491173417
2021-01-08 16:00:00,0.07831516095534787
2021-01-08 17:00:00,0.04646157840083074
2021-01-08 18:00:00,0.03193406022845275
